tenantid,propertyid,tenant_name,contact_number,email,move_in_date,blockid,estateid,patchid,property_age_years,propertytype_x,tenancy_start_date,tenancy_type,household_size,vulnerability_flag,disability_flag,income_band,age_of_tenant,housing_need_type,support_plan_flag,benefit_status,preferred_contact_method,last_contact_date,preferred_language,complaints_made,propertytype_y,epc_rating,asbestos_high_risk,is_void,repair_related_contacts,num_delayed_repairs,simulated_satisfaction
35,3,Tenant 35,7511259527,tenant35@example.com,2022-08-15 08:40:37.449840,10.0,5.0,5,80,Flat,2023-03-19,Assured Shorthold,4,False,False,£25k–£40k,22,General Needs,False,Full Housing Benefit,Text,2024-12-31,English,0,Flat,E,False,False,4.0,5,3.4
36,334,Tenant 36,7550149967,tenant36@example.com,2021-12-04 08:40:37.449843,19.0,,3,47,Flat,2021-07-19,Secure,3,False,False,£15k–£25k,77,General Needs,False,Full Housing Benefit,Email,2022-12-01,English,0,Flat,C,False,False,5.0,2,3.3
37,410,Tenant 37,7790042893,tenant37@example.com,2015-03-22 08:40:37.449845,22.0,,6,71,House,2017-07-04,Secure,1,False,True,£40k+,18,Overcrowded,True,Full Housing Benefit,Post,2020-10-12,English,1,House,C,False,False,1.0,1,4.5
38,71,Tenant 38,7664588547,tenant38@example.com,2021-05-14 08:40:37.449848,2.0,1.0,2,15,House,2018-11-27,Assured Shorthold,4,True,False,£15k–£25k,53,Homeless,False,None,Email,2022-01-15,English,0,House,E,False,False,1.0,2,4.2
39,210,Tenant 39,7777267364,tenant39@example.com,2015-03-02 08:40:37.449850,10.0,5.0,5,80,House,2016-12-27,Assured Shorthold,3,True,False,<£15k,52,General Needs,False,Full Housing Benefit,Text,2020-11-03,Arabic,0,House,C,False,False,0.0,2,3.8
40,64,Tenant 40,7683746914,tenant40@example.com,2015-04-01 08:40:37.449853,1.0,1.0,1,66,Flat,2021-11-03,Assured Shorthold,2,False,False,£15k–£25k,83,Domestic Abuse,False,Partial,Email,2024-03-15,English,1,Flat,C,False,False,1.0,3,4.9
41,385,Tenant 41,7120970156,tenant41@example.com,2019-11-15 08:40:37.449856,19.0,,5,47,Flat,2019-07-26,Assured Shorthold,1,False,False,£25k–£40k,80,Homeless,False,Full Housing Benefit,Email,2021-08-20,Arabic,0,Flat,E,False,False,2.0,0,3.3
42,94,Tenant 42,7939575663,tenant42@example.com,2016-02-29 08:40:37.449858,17.0,10.0,6,25,Flat,2023-12-29,License,3,False,False,£15k–£25k,40,Move-on,False,Partial,Email,2024-12-31,Other,0,Flat,D,False,False,0.0,2,4.1
43,486,Tenant 43,7485593692,tenant43@example.com,2018-10-13 08:40:37.449861,,,6,73,Flat,2016-04-13,Assured Shorthold,3,False,False,£25k–£40k,26,Homeless,False,Partial,Post,2016-07-02,English,0,Flat,F,False,False,2.0,2,4.4
44,186,Tenant 44,7684671539,tenant44@example.com,2015-05-26 08:40:37.449863,13.0,8.0,5,37,House,2017-01-09,Secure,2,False,False,£40k+,51,General Needs,False,None,Phone,2021-09-23,Polish,1,House,D,False,True,1.0,2,3.4
45,34,Tenant 45,7620420638,tenant45@example.com,2020-04-20 08:40:37.449866,16.0,9.0,2,47,Flat,2016-04-13,Introductory,4,False,False,<£15k,63,Overcrowded,False,Full Housing Benefit,Phone,2021-01-28,English,0,Flat,F,False,True,0.0,1,3.6
46,78,Tenant 46,7707363258,tenant46@example.com,2018-07-12 08:40:37.449873,17.0,10.0,4,25,Flat,2022-12-21,Secure,3,False,False,£40k+,21,General Needs,False,Full Housing Benefit,Email,2024-08-16,English,0,Flat,C,False,False,1.0,3,4.4
47,1,Tenant 47,7445320116,tenant47@example.com,2019-10-22 08:40:37.449876,1.0,1.0,7,66,Flat,2019-04-24,Assured Shorthold,1,False,False,<£15k,47,Overcrowded,False,Full Housing Benefit,Phone,2022-09-18,English,0,Flat,D,False,False,2.0,4,3.9
48,12,Tenant 48,7390378111,tenant48@example.com,2022-02-22 08:40:37.449878,17.0,10.0,7,25,Flat,2021-01-15,Secure,2,False,False,<£15k,20,General Needs,True,None,Phone,2024-04-07,Polish,1,Flat,G,False,False,0.0,2,2.9
49,416,Tenant 49,7127984900,tenant49@example.com,2020-08-01 08:40:37.449881,21.0,,1,74,House,2016-08-17,Secure,1,False,False,<£15k,31,General Needs,False,None,Email,2017-02-12,English,0,House,D,False,False,1.0,2,3.4
50,23,Tenant 50,7741148802,tenant50@example.com,2021-09-14 08:40:37.449884,2.0,1.0,2,15,Flat,2020-04-29,License,3,False,False,£25k–£40k,77,Overcrowded,False,Partial,Email,2021-04-07,Arabic,0,Flat,C,False,False,0.0,3,4.0
51,73,Tenant 51,7131464348,tenant51@example.com,2015-06-07 08:40:37.449886,1.0,1.0,1,66,Flat,2015-09-29,Introductory,1,False,False,£15k–£25k,62,General Needs,False,Partial,Text,2017-05-20,Urdu,0,Flat,A,False,False,2.0,2,3.5
52,183,Tenant 52,7401649155,tenant52@example.com,2023-07-04 08:40:37.449889,12.0,7.0,6,80,Flat,2022-09-28,Assured Shorthold,2,False,False,<£15k,51,General Needs,False,Partial,Phone,2024-12-31,English,1,Flat,F,False,True,1.0,3,3.3
53,132,Tenant 53,7968285490,tenant53@example.com,2018-11-14 08:40:37.449891,13.0,8.0,5,37,Flat,2018-11-06,Assured Shorthold,3,True,False,£15k–£25k,62,General Needs,False,Full Housing Benefit,Post,2019-10-06,Other,1,Flat,C,False,False,0.0,0,3.6
54,411,Tenant 54,7668473595,tenant54@example.com,2020-02-25 08:40:37.449894,19.0,,3,47,Flat,2016-08-08,Secure,4,False,False,£15k–£25k,78,General Needs,False,None,Email,2021-05-19,English,0,Flat,C,False,False,2.0,4,3.9
55,194,Tenant 55,7923390510,tenant55@example.com,2017-08-11 08:40:37.449897,4.0,2.0,7,51,Flat,2018-06-13,Secure,2,False,False,<£15k,33,General Needs,False,Partial,Text,2020-05-24,English,0,Flat,D,False,False,0.0,1,3.8
56,56,Tenant 56,7349926429,tenant56@example.com,2022-05-16 08:40:37.449899,3.0,1.0,4,57,Flat,2020-12-16,Secure,3,False,False,£25k–£40k,83,General Needs,False,Full Housing Benefit,Post,2023-05-02,English,1,Flat,F,False,False,1.0,1,4.0
57,149,Tenant 57,7207518427,tenant57@example.com,2021-05-19 08:40:37.449902,13.0,8.0,1,37,Block of Flats,2017-11-04,Assured Shorthold,1,False,False,£25k–£40k,57,Homeless,False,Partial,Phone,2020-11-15,English,0,Block of Flats,B,False,False,0.0,2,4.0
58,19,Tenant 58,7805302800,tenant58@example.com,2021-06-16 08:40:37.449904,7.0,4.0,8,98,Flat,2022-11-13,Assured Shorthold,3,False,False,£15k–£25k,34,Overcrowded,False,Full Housing Benefit,Text,2024-12-31,English,1,Flat,D,False,False,0.0,3,3.9
59,205,Tenant 59,7386181187,tenant59@example.com,2018-03-06 08:40:37.449906,7.0,4.0,4,98,Flat,2018-01-15,Assured Shorthold,1,False,False,£40k+,51,Homeless,False,Full Housing Benefit,Email,2019-05-03,English,0,Flat,D,False,False,0.0,2,3.9
60,79,Tenant 60,7976479512,tenant60@example.com,2015-04-16 08:40:37.449909,16.0,9.0,7,47,Flat,2018-11-13,Secure,2,False,False,£15k–£25k,33,Overcrowded,False,Partial,Post,2020-08-16,English,0,Flat,C,False,False,2.0,3,4.4
61,495,Tenant 61,7891412300,tenant61@example.com,2023-07-14 08:40:37.449912,,,5,73,Flat,2023-11-07,License,3,False,False,£40k+,77,Domestic Abuse,False,Full Housing Benefit,Email,2024-12-31,Urdu,1,Flat,D,False,False,4.0,2,3.8
62,263,Tenant 62,7920392140,tenant62@example.com,2021-09-13 08:40:37.449914,19.0,,5,47,House,2018-12-03,Assured Shorthold,1,False,False,£15k–£25k,83,Overcrowded,False,Partial,Phone,2019-09-22,English,0,House,C,False,False,1.0,3,4.3
63,324,Tenant 63,7718144695,tenant63@example.com,2015-03-21 08:40:37.449916,19.0,,2,47,Flat,2016-10-11,Assured Shorthold,1,False,False,£15k–£25k,83,General Needs,False,Full Housing Benefit,Post,2019-10-22,English,0,Flat,C,False,False,1.0,4,5.0
64,484,Tenant 64,7517065508,tenant64@example.com,2020-03-07 08:40:37.449919,,,6,73,Flat,2015-02-26,Assured Shorthold,3,False,False,<£15k,30,Domestic Abuse,False,Full Housing Benefit,Phone,2019-08-09,English,0,Flat,D,False,False,1.0,2,3.8
65,80,Tenant 65,7286521875,tenant65@example.com,2022-03-09 08:40:37.449922,9.0,5.0,4,103,Flat,2017-05-11,Assured Shorthold,3,False,False,£25k–£40k,73,Overcrowded,True,Full Housing Benefit,Phone,2020-03-09,Polish,0,Flat,C,False,False,0.0,0,5.0
66,40,Tenant 66,7353994846,tenant66@example.com,2017-07-08 08:40:37.449924,5.0,3.0,3,78,Flat,2016-06-12,Secure,3,False,False,£15k–£25k,48,General Needs,True,Full Housing Benefit,Text,2021-01-10,English,0,Flat,D,False,False,2.0,3,3.9
67,452,Tenant 67,7441454588,tenant67@example.com,2015-11-19 08:40:37.449927,,,6,73,House,2020-10-11,Secure,3,False,False,<£15k,51,Homeless,False,Partial,Email,2020-11-14,Somali,0,House,D,False,False,1.0,2,3.7
68,47,Tenant 68,7849070816,tenant68@example.com,2020-02-20 08:40:37.449929,8.0,4.0,8,15,Flat,2018-08-27,Introductory,2,False,False,<£15k,56,General Needs,False,Full Housing Benefit,Post,2021-10-26,Polish,0,Flat,C,False,False,1.0,0,4.1
69,239,Tenant 69,7735185398,tenant69@example.com,2023-11-05 08:40:37.449932,22.0,,3,71,Flat,2020-09-14,Secure,2,False,False,£15k–£25k,84,Homeless,False,Partial,Phone,2024-02-15,English,0,Flat,D,False,False,2.0,2,4.3
70,392,Tenant 70,7855326778,tenant70@example.com,2016-04-21 08:40:37.449934,18.0,,3,47,Flat,2016-04-15,Secure,2,True,False,£15k–£25k,25,General Needs,False,Partial,Phone,2018-06-27,English,0,Flat,D,False,False,1.0,3,4.3
71,353,Tenant 71,7477615830,tenant71@example.com,2017-10-17 08:40:37.449937,22.0,,1,71,Flat,2020-06-18,Secure,1,False,False,£25k–£40k,72,General Needs,False,Partial,Post,2022-12-11,English,0,Flat,D,False,False,1.0,0,4.1
72,342,Tenant 72,7705167856,tenant72@example.com,2022-07-26 08:40:37.449940,20.0,,4,29,Flat,2017-07-06,Secure,4,False,False,£25k–£40k,44,Overcrowded,False,None,Phone,2020-04-22,English,0,Flat,D,False,False,2.0,1,4.4
73,278,Tenant 73,7704633564,tenant73@example.com,2022-01-18 08:40:37.449942,20.0,,6,29,Flat,2022-05-22,Introductory,2,False,False,<£15k,70,Homeless,False,Partial,Text,2024-11-20,English,1,Flat,D,False,False,0.0,3,3.2
74,291,Tenant 74,7998396384,tenant74@example.com,2018-08-22 08:40:37.449944,18.0,,1,47,Flat,2024-06-01,Assured Shorthold,2,False,False,£25k–£40k,56,General Needs,False,Full Housing Benefit,Text,2024-12-31,English,0,Flat,B,False,False,0.0,2,3.4
75,318,Tenant 75,7682101860,tenant75@example.com,2020-09-11 08:40:37.449947,19.0,,1,47,Flat,2018-05-05,Assured Shorthold,2,False,False,<£15k,82,General Needs,False,Full Housing Benefit,Text,2018-07-20,English,0,Flat,C,False,True,1.0,2,4.3
76,305,Tenant 76,7288502642,tenant76@example.com,2018-08-30 08:40:37.449950,18.0,,2,47,Flat,2015-11-18,Secure,4,False,False,£25k–£40k,34,General Needs,False,Full Housing Benefit,Text,2018-05-02,English,2,Flat,E,False,False,0.0,5,3.6
77,269,Tenant 77,7140763261,tenant77@example.com,2023-02-24 08:40:37.449952,19.0,,7,47,Flat,2019-02-27,Assured Shorthold,1,False,False,£25k–£40k,47,General Needs,False,Partial,Phone,2021-06-28,English,0,Flat,C,False,False,0.0,0,4.5
78,70,Tenant 78,7160309911,tenant78@example.com,2021-07-21 08:40:37.449955,13.0,8.0,6,37,House,2020-03-03,Assured Shorthold,2,False,False,£15k–£25k,70,Homeless,False,Full Housing Benefit,Post,2022-10-24,English,1,House,G,False,False,1.0,3,3.4
79,456,Tenant 79,7746030501,tenant79@example.com,2021-09-15 08:40:37.449958,,,3,73,Flat,2015-01-15,Secure,2,False,False,£25k–£40k,30,Domestic Abuse,True,Partial,Post,2016-11-30,English,0,Flat,D,False,False,3.0,5,4.4
80,466,Tenant 80,7121397518,tenant80@example.com,2018-04-04 08:40:37.449960,,,7,73,House,2016-02-05,Assured Shorthold,3,False,False,£15k–£25k,38,Homeless,False,Partial,Post,2016-11-29,English,0,House,D,False,False,1.0,2,3.1
81,155,Tenant 81,7613236768,tenant81@example.com,2024-02-26 08:40:37.449962,3.0,1.0,5,57,House,2021-09-18,Secure,1,False,False,£15k–£25k,36,General Needs,False,Full Housing Benefit,Post,2022-10-22,English,0,House,G,True,False,1.0,5,2.8
82,83,Tenant 82,7456196659,tenant82@example.com,2017-04-10 08:40:37.449965,14.0,9.0,5,24,House,2015-01-13,Assured Shorthold,4,False,True,£25k–£40k,70,General Needs,False,None,Email,2016-11-08,English,2,House,C,False,False,0.0,3,4.6
83,478,Tenant 83,7316320731,tenant83@example.com,2022-09-12 08:40:37.449967,,,8,73,Block of Flats,2017-05-10,Assured Shorthold,4,False,True,£15k–£25k,36,Overcrowded,False,Full Housing Benefit,Post,2020-07-12,English,0,Block of Flats,D,False,True,0.0,1,2.7
84,173,Tenant 84,7465887237,tenant84@example.com,2016-02-14 08:40:37.449970,4.0,2.0,3,51,Flat,2021-06-02,Secure,2,True,False,£15k–£25k,74,Homeless,False,Full Housing Benefit,Email,2024-12-31,Bengali,2,Flat,D,False,False,1.0,4,3.8
85,322,Tenant 85,7290546084,tenant85@example.com,2020-07-13 08:40:37.449972,19.0,,5,47,Flat,2020-05-27,Secure,3,False,False,£15k–£25k,42,Overcrowded,False,Partial,Email,2024-12-31,English,3,Flat,E,False,False,4.0,3,3.3
86,91,Tenant 86,7163947730,tenant86@example.com,2023-12-01 08:40:37.449975,10.0,5.0,8,80,Flat,2022-08-03,Assured Shorthold,4,False,False,£25k–£40k,48,Overcrowded,False,Partial,Text,2024-06-19,Other,0,Flat,C,False,False,2.0,4,3.7
87,181,Tenant 87,7258604568,tenant87@example.com,2017-08-01 08:40:37.449978,10.0,5.0,5,80,Block of Flats,2017-10-21,Assured Shorthold,3,False,False,£15k–£25k,72,General Needs,False,Partial,Email,2018-03-19,English,1,Block of Flats,C,False,False,3.0,2,3.9
88,415,Tenant 88,7856661933,tenant88@example.com,2022-07-28 08:40:37.449981,20.0,,3,29,Flat,2016-11-27,Introductory,1,False,False,<£15k,40,General Needs,False,Partial,Phone,2019-04-06,English,1,Flat,D,False,False,0.0,1,3.6
89,313,Tenant 89,7931469703,tenant89@example.com,2022-12-01 08:40:37.449984,21.0,,4,74,Flat,2020-03-09,Assured Shorthold,2,True,False,£25k–£40k,49,General Needs,False,Full Housing Benefit,Email,2024-09-21,Arabic,0,Flat,B,False,False,5.0,4,4.3
90,279,Tenant 90,7665104817,tenant90@example.com,2020-01-26 08:40:37.449986,18.0,,1,47,Block of Flats,2024-01-26,Secure,3,False,False,£25k–£40k,79,Move-on,True,None,Text,2024-12-31,English,0,Block of Flats,D,False,False,1.0,2,4.4
91,382,Tenant 91,7177880216,tenant91@example.com,2019-12-21 08:40:37.449989,20.0,,6,29,Flat,2023-12-17,Secure,2,False,False,<£15k,27,Homeless,False,None,Email,2024-12-31,English,0,Flat,D,False,False,0.0,2,3.4
92,473,Tenant 92,7856491925,tenant92@example.com,2016-09-25 08:40:37.449991,,,3,73,Flat,2019-02-01,Assured Shorthold,3,False,False,<£15k,71,General Needs,False,Partial,Phone,2021-03-12,English,3,Flat,B,False,False,0.0,1,4.1
93,363,Tenant 93,7524767500,tenant93@example.com,2017-08-03 08:40:37.449994,18.0,,1,47,Flat,2021-10-14,Secure,4,False,False,<£15k,69,General Needs,False,Full Housing Benefit,Phone,2024-12-31,English,0,Flat,D,False,False,1.0,1,3.4
94,325,Tenant 94,7208482467,tenant94@example.com,2020-05-21 08:40:37.449996,22.0,,6,71,Block of Flats,2018-03-02,Assured Shorthold,4,False,False,£15k–£25k,37,General Needs,False,Partial,Phone,2018-07-26,English,0,Block of Flats,F,False,False,1.0,2,4.1
95,432,Tenant 95,7424017866,tenant95@example.com,2020-07-17 08:40:37.449999,,,6,73,Flat,2022-04-12,License,2,True,False,£15k–£25k,49,General Needs,False,Full Housing Benefit,Text,2024-07-10,English,0,Flat,E,False,False,0.0,1,4.2
96,348,Tenant 96,7246513857,tenant96@example.com,2022-05-24 08:40:37.450002,22.0,,4,71,Flat,2015-05-12,Assured Shorthold,1,False,False,£25k–£40k,31,Move-on,False,Full Housing Benefit,Text,2018-08-04,Bengali,0,Flat,B,False,False,0.0,0,4.1
97,87,Tenant 97,7886356993,tenant97@example.com,2019-04-06 08:40:37.450004,11.0,6.0,6,49,Flat,2023-04-07,Secure,5,False,False,£15k–£25k,67,General Needs,True,None,Post,2024-12-31,English,0,Flat,E,False,False,1.0,1,3.9
98,76,Tenant 98,7950234433,tenant98@example.com,2016-12-28 08:40:37.450006,2.0,1.0,2,15,House,2021-01-07,Assured Shorthold,3,False,True,£15k–£25k,45,Domestic Abuse,False,Full Housing Benefit,Text,2023-11-15,English,0,House,E,False,False,1.0,1,3.9
99,439,Tenant 99,7623127037,tenant99@example.com,2016-11-17 08:40:37.450009,,,7,73,House,2021-09-23,Assured Shorthold,1,False,False,£15k–£25k,70,Homeless,False,None,Phone,2024-12-31,English,0,House,D,False,False,0.0,1,3.3
100,16,Tenant 100,7440680449,tenant100@example.com,2022-03-17 08:40:37.450012,8.0,4.0,5,15,Flat,2018-02-04,Assured Shorthold,4,False,False,£25k–£40k,41,Homeless,False,Partial,Phone,2021-02-19,English,2,Flat,C,False,False,0.0,3,4.6
101,250,Tenant 101,7859331874,tenant101@example.com,2017-11-10 08:40:37.450015,21.0,,3,74,House,2016-12-07,License,4,True,True,£15k–£25k,39,Homeless,False,Full Housing Benefit,Text,2018-10-01,English,1,House,E,True,False,3.0,2,3.0
102,434,Tenant 102,7844704803,tenant102@example.com,2017-04-12 08:40:37.450017,,,8,73,Block of Flats,2023-08-03,Secure,2,True,False,£40k+,47,General Needs,False,Partial,Email,2024-12-31,English,0,Block of Flats,C,False,False,2.0,1,3.8
103,20,Tenant 103,7945026004,tenant103@example.com,2020-02-28 08:40:37.450020,10.0,5.0,3,80,Flat,2022-02-08,License,2,False,True,£15k–£25k,80,Overcrowded,False,None,Text,2024-12-31,English,2,Flat,C,False,False,1.0,1,4.1
